"Primary_key","ACTIVITY_TYPE","SEX","INSEE_CODE","job_42","CURRENT_AGE","is_student","highest_diploma","household_type","target"
1,"TACT2.1","Female","01004","csp_7_5",76,FALSE,"DIP1_8","FM4_4","Y"
4,"TACT1.1","Male","01004","csp_4_7",49,FALSE,"DIP1_3","FM4_1","Y"
8,"TACT1.1","Male","01004","csp_6_8",53,FALSE,"DIP3","FM4_2","J"
15,"TACT2.1","Male","01004","csp_7_4",87,FALSE,"DIP3","FM4_3","J"
16,"TACT2.1","Female","01004","csp_7_7",81,FALSE,"DIP1_3","FM1_2","Y"
17,"TACT2.2","Male","01004","csp_8_4",19,TRUE,"DIP1_4","FM4_1","Y"
23,"TACT2.1","Female","01007","csp_7_7",74,FALSE,"DIP1_4","FM4_4","J"
27,"TACT2.1","Female","01007","csp_7_7",78,FALSE,"DIP1_2","FM4_4","J"
28,"TACT2.1","Male","01007","csp_7_4",74,FALSE,"DIP1_5","FM4_4","Y"
31,"TACT1.1","Male","01009","csp_3_8",39,FALSE,"DIP1_8","FM4_1","Y"
32,"TACT2.2","Male","01010","csp_8_5",15,TRUE,"DIP3","FM3_2","Y"
34,"TACT1.1","Male","01010","csp_5_3",41,FALSE,"DIP1_5","FM4_1","Y"
35,"TACT2.1","Female","01010","csp_7_1",82,FALSE,"DIP1_1","FM4_4","Y"
36,"TACT1.1","Male","01011","csp_6_7",39,FALSE,"DIP1_5","FM4_1","Y"
42,"TACT2.1","Female","01014","csp_7_7",85,FALSE,"DIP1_3","FM1_2","J"
43,"TACT1.2","Female","01014","csp_5_4",29,FALSE,"DIP1_7","FM4_2","Y"
44,"TACT2.5","Male","01014","csp_8_5",19,FALSE,"DIP3","FM3_2","Y"
45,"TACT1.2","Male","01021","csp_6_3",59,FALSE,"DIP1_3","FM3_1","Y"
46,"TACT2.1","Female","01021","csp_8_6",78,FALSE,"DIP1_3","FM1_2","J"
47,"TACT1.1","Female","01021","csp_5_5",46,FALSE,"DIP2","FM4_1","J"
49,"TACT1.1","Male","01024","csp_4_6",52,FALSE,"DIP1_3","FM1_1","J"
50,"TACT2.1","Female","01024","csp_7_7",72,FALSE,"DIP1_4","FM4_4","J"
51,"TACT2.1","Female","01024","csp_7_7",75,FALSE,"DIP1_4","FM3_2","Y"
53,"TACT2.5","Male","01024","csp_8_5",25,FALSE,"DIP1_3","FM3_1","J"
54,"TACT2.1","Female","01024","csp_7_7",67,FALSE,"DIP1_1","FM1_2","Y"
55,"TACT1.1","Male","01025","csp_3_8",29,FALSE,"DIP1_8","FM4_2","J"
60,"TACT1.1","Male","01027","csp_6_8",23,FALSE,"DIP1_3","FM4_1","Y"
61,"TACT1.1","Male","01027","csp_6_8",46,FALSE,"DIP1_3","FM4_1","Y"
64,"TACT2.1","Male","01031","csp_7_8",83,FALSE,"DIP1_1","FM1_1","J"
65,"TACT2.1","Male","01031","csp_7_4",82,FALSE,"DIP1_1","FM4_3","J"
66,"TACT1.1","Female","01031","csp_6_7",53,FALSE,"DIP1_3","FM4_1","J"
67,"TACT2.1","Male","01031","csp_7_2",80,FALSE,"DIP1_2","FM4_4","J"
70,"TACT1.1","Female","01031","csp_5_6",41,FALSE,"DIP1_6","FM4_1","Y"
72,"TACT2.1","Female","01031","csp_7_8",69,FALSE,"DIP1_3","FM4_4","J"
73,"TACT1.1","Male","01031","csp_6_3",43,FALSE,"DIP1_5","FM4_1","Y"
74,"TACT1.1","Male","01032","csp_4_8",34,FALSE,"DIP1_8","FM4_1","Y"
75,"TACT2.1","Male","01032","csp_7_4",67,FALSE,"DIP1_3","FM4_4","J"
79,"TACT1.1","Female","01032","csp_3_8",23,FALSE,"DIP1_8","FM4_1","Y"
80,"TACT1.1","Female","01033","csp_4_3",54,FALSE,"DIP1_7","FM3_2","Y"
82,"TACT2.1","Male","01033","csp_7_8",69,FALSE,"DIP3","FM4_4","Y"
86,"TACT2.1","Female","01033","csp_7_7",63,FALSE,"DIP1_1","FM4_4","Y"
90,"TACT2.1","Male","01033","csp_7_8",68,FALSE,"DIP1_1","FM4_3","J"
91,"TACT1.1","Female","01033","csp_6_8",54,FALSE,"DIP2","FM4_1","Y"
93,"TACT2.2","Male","01033","csp_8_4",18,TRUE,"DIP1_2","FM3_2","Y"
96,"TACT2.1","Male","01033","csp_7_2",79,FALSE,"DIP1_3","FM4_4","J"
97,"TACT2.2","Male","01033","csp_8_4",15,TRUE,"DIP3","FM3_2","Y"
99,"TACT2.1","Male","01033","csp_7_8",65,FALSE,"DIP1_3","FM1_1","Y"
102,"TACT2.1","Female","01034","csp_7_7",76,FALSE,"DIP2","FM4_4","J"
103,"TACT1.1","Female","01034","csp_4_2",43,FALSE,"DIP1_7","FM4_3","J"
107,"TACT1.1","Male","01034","csp_5_6",23,FALSE,"DIP1_4","FM2_0","Y"
108,"TACT2.1","Female","01034","csp_7_1",88,FALSE,"DIP1_1","FM1_2","Y"
109,"TACT1.1","Male","01034","csp_3_4",61,FALSE,"DIP1_7","FM4_2","J"
113,"TACT2.1","Female","01034","csp_7_1",86,FALSE,"DIP3","FM2_0","Y"
