"Primary_key","EMP"
4,"ec16"
8,"ec16"
31,"ec16"
34,"ec16"
36,"ec16"
47,"ec16"
49,"ec16"
55,"ec16"
60,"ec12"
61,"ec16"
66,"ec16"
70,"ec16"
73,"ec16"
74,"ec16"
79,"ec16"
80,"ec21"
91,"ec16"
103,"ec16"
107,"ec16"
109,"ec16"
126,"ec16"
127,"ec21"
135,"ec16"
147,"ec16"
150,"ec16"
154,"ec12"
159,"ec21"
166,"ec16"
172,"ec16"
177,"ec16"
187,"ec15"
194,"ec16"
196,"ec16"
198,"ec16"
200,"ec15"
201,"ec13"
202,"ec16"
204,"ec16"
207,"ec21"
208,"ec16"
211,"ec15"
212,"ec16"
223,"ec16"
229,"ec16"
230,"ec21"
236,"ec16"
251,"ec16"
255,"ec16"
259,"ec16"
263,"ec15"
264,"ec16"
265,"ec16"
269,"ec16"
270,"ec16"
271,"ec16"
273,"ec22"
275,"ec16"
277,"ec13"
287,"ec11"
288,"ec16"
295,"ec16"
297,"ec16"
300,"ec16"
304,"ec22"
311,"ec16"
313,"ec16"
317,"ec15"
319,"ec16"
322,"ec11"
324,"ec16"
326,"ec16"
328,"ec16"
330,"ec16"
334,"ec15"
335,"ec15"
353,"ec16"
357,"ec12"
360,"ec16"
363,"ec16"
372,"ec16"
375,"ec16"
379,"ec16"
380,"ec16"
389,"ec15"
395,"ec15"
396,"ec22"
398,"ec16"
399,"ec16"
401,"ec16"
404,"ec21"
407,"ec15"
412,"ec16"
416,"ec16"
421,"ec16"
425,"ec16"
426,"ec16"
428,"ec21"
429,"ec16"
430,"ec21"
433,"ec22"
434,"ec16"
437,"ec16"
444,"ec16"
445,"ec16"
450,"ec22"
453,"ec16"
454,"ec22"
465,"ec21"
466,"ec22"
472,"ec16"
484,"ec16"
493,"ec16"
496,"ec16"
497,"ec16"
498,"ec22"
500,"ec16"
501,"ec16"
502,"ec22"
511,"ec16"
512,"ec16"
513,"ec21"
522,"ec22"
524,"ec16"
525,"ec22"
526,"ec16"
532,"ec16"
537,"ec16"
540,"ec15"
541,"ec16"
555,"ec16"
561,"ec16"
564,"ec22"
570,"ec21"
572,"ec16"
574,"ec16"
590,"ec21"
592,"ec16"
599,"ec16"
605,"ec16"
608,"ec16"
609,"ec16"
613,"ec16"
615,"ec16"
617,"ec16"
620,"ec22"
621,"ec16"
626,"ec16"
628,"ec16"
630,"ec16"
631,"ec16"
635,"ec16"
641,"ec16"
644,"ec16"
645,"ec16"
648,"ec16"
649,"ec22"
657,"ec16"
660,"ec16"
666,"ec16"
670,"ec16"
671,"ec22"
673,"ec15"
681,"ec16"
691,"ec16"
694,"ec16"
700,"ec21"
703,"ec16"
706,"ec15"
707,"ec16"
708,"ec16"
713,"ec16"
716,"ec16"
722,"ec16"
728,"ec16"
732,"ec16"
739,"ec16"
740,"ec16"
744,"ec16"
749,"ec15"
751,"ec15"
757,"ec21"
758,"ec16"
761,"ec15"
765,"ec11"
773,"ec16"
776,"ec16"
778,"ec16"
780,"ec12"
781,"ec16"
792,"ec22"
796,"ec21"
797,"ec16"
800,"ec16"
801,"ec15"
804,"ec21"
806,"ec16"
815,"ec16"
816,"ec16"
817,"ec11"
834,"ec15"
837,"ec15"
840,"ec16"
841,"ec16"
843,"ec16"
847,"ec16"
848,"ec16"
849,"ec15"
850,"ec16"
852,"ec16"
855,"ec16"
856,"ec16"
857,"ec16"
862,"ec16"
863,"ec15"
867,"ec16"
871,"ec15"
876,"ec16"
880,"ec16"
882,"ec16"
883,"ec16"
884,"ec16"
886,"ec16"
890,"ec16"
896,"ec16"
902,"ec16"
904,"ec16"
908,"ec16"
910,"ec16"
916,"ec16"
918,"ec16"
919,"ec21"
925,"ec16"
936,"ec21"
