"Primary_key","Working_hours","JOB_CONDITION","JOB_CATEGORY","economic_sector","Employee_count","WORK_DESCRIPTION","Emolument","Company_category","Job_dep","Terms_of_emp"
4,2060,"C","O","CH","tr_3","474a",33886,"ct_9","39","CDI"
8,799,"C","O","GZ","tr_4","682a",10330,"ct_9","01","CDI"
31,1820,"C","O","MA","tr_5","385a",80011,"ct_9","01","CDI"
34,1248,"C","O","NZ","tr_1","534a",19036,"ct_9","01","CDI"
36,1744,"C","O","CH","tr_1","673a",21436,"ct_9","71","CDI"
47,1324,"C","O","GZ","tr_1","554e",14317,"ct_9","01","CDI"
49,2425,"C","O","FZ","tr_2","463e",28040,"ct_9","85","CDI"
55,1832,"C","O","JC","tr_3","388c",39859,"ct_9","71","CDI"
60,407,"C","X","EZ","tr_3","684b",3578,"ct_9","01","AUT"
61,1820,"C","O","FZ","tr_1","681b",23150,"ct_9","01","CDI"
66,1816,"C","O","CL","tr_5","676c",19376,"ct_9","01","CDI"
70,708,"C","O","IZ","tr_3","561e",15311,"ct_9","01","CDI"
73,1220,"C","O","FZ","tr_1","632f",12980,"ct_9","01","CDI"
74,1827,"C","O","CH","tr_4","487a",38674,"ct_9","69","CDI"
79,1301,"C","O","DZ","tr_3","386d",17561,"ct_9","01","CDI"
91,435,"P","O","NZ","tr_0","684a",3809,"ct_9","01","CDI"
103,1649,"C","O","PZ","tr_3","422e",15446,"ct_8","01","CDI"
107,1271,"C","O","IZ","tr_1","561c",12865,"ct_9","01","CDI"
109,1771,"C","O","JB","tr_2","344b",51217,"ct_9","69","CDI"
135,1757,"C","O","CG","tr_5","487a",27874,"ct_9","01","CDI"
147,2023,"C","O","CG","tr_3","475a",48388,"ct_9","01","CDI"
150,1179,"C","O","QB","tr_3","525d",14406,"ct_8","01","CDI"
154,1094,"C","O","NZ","tr_1","632a",12302,"ct_9","01","TTP"
166,1236,"C","O","DZ","tr_2","462e",33476,"ct_9","71","CDI"
172,1335,"C","O","CA","tr_3","674c",11043,"ct_9","01","CDI"
177,1398,"C","O","CH","tr_6","475a",30042,"ct_9","69","CDI"
187,1521,"C","O","QA","tr_6","431c",32309,"ct_3","71","AUT"
194,499,"P","O","QB","tr_3","563b",5398,"ct_8","01","CDI"
196,1929,"C","O","HZ","tr_3","641a",22336,"ct_9","64","CDI"
198,1232,"C","O","FZ","tr_2","373c",20415,"ct_9","69","CDI"
200,1032,"C","O","NZ","tr_1","674c",11546,"ct_9","01","TTP"
202,1820,"C","O","LZ","tr_5","331a",42800,"ct_5","01","CDI"
204,408,"C","O","NZ","tr_6","534a",7044,"ct_9","73","CDI"
208,1607,"C","O","HZ","tr_2","461f",26025,"ct_9","38","CDI"
211,1820,"C","O","QA","tr_6","526a",24351,"ct_3","01","AUT"
212,1890,"C","O","NZ","tr_6","534a",17579,"ct_9","69","CDI"
223,1562,"P","O","NZ","tr_6","541b",10152,"ct_9","69","CDI"
236,1565,"P","O","IZ","tr_3","561d",13673,"ct_9","01","CDI"
251,1820,"C","O","QB","tr_2","434d",27666,"ct_8","71","CDI"
255,1847,"C","O","CG","tr_4","475b",31457,"ct_9","73","CDI"
259,3000,"N","O","QB","tr_1","563a",12234,"ct_7","01","CDI"
263,375,"C","O","FZ","tr_1","681a",3845,"ct_9","01","CDD"
264,448,"C","O","CA","tr_3","484a",41192,"ct_9","01","CDI"
269,1820,"C","O","PZ","tr_5","341a",24176,"ct_8","69","CDI"
270,1964,"C","O","QB","tr_3","526d",22499,"ct_8","69","CDI"
271,315,"P","O","NZ","tr_4","684a",2198,"ct_9","73","CDI"
275,1851,"C","O","QA","tr_3","526e",19051,"ct_9","01","CDI"
287,1684,"C","A","MA","tr_1","543c",14517,"ct_9","69","APP"
288,2113,"C","O","HZ","tr_0","641a",31261,"ct_9","01","CDI"
295,1705,"C","O","EZ","tr_5","628e",35142,"ct_9","01","CDI"
297,1820,"C","O","OZ","tr_6","451g",20929,"ct_2","01","CDI"
300,1807,"C","O","GZ","tr_2","554a",18480,"ct_9","01","CDI"
311,1820,"C","O","HZ","tr_3","333c",27992,"ct_9","01","CDI"
313,515,"C","O","MA","tr_3","373d",21355,"ct_9","69","CDI"
317,1785,"C","O","OZ","tr_3","451e",16527,"ct_8","01","CDD"
319,2287,"P","O","GZ","tr_1","344d",48850,"ct_9","01","CDI"
322,1212,"C","A","CF","tr_5","682a",11255,"ct_9","38","APP"
324,1784,"C","O","QA","tr_3","431b",28209,"ct_8","01","CDI"
326,1574,"C","O","QA","tr_6","431f",27465,"ct_9","01","CDI"
328,1820,"C","O","QB","tr_5","434a",48134,"ct_8","01","CDI"
330,1673,"C","O","CG","tr_2","474a",30057,"ct_9","01","CDI"
335,1333,"C","O","NZ","tr_3","543h",14871,"ct_9","69","CDD"
353,1768,"C","O","CK","tr_6","484b",31789,"ct_9","01","CDI"
357,1702,"C","O","QB","tr_4","525d",15420,"ct_8","01","CDD"
360,1820,"C","O","HZ","tr_5","466b",35876,"ct_9","71","CDI"
363,1840,"N","O","TZ","tr_1","563c",16746,"ct_7","01","CDI"
372,1604,"P","O","QB","tr_5","461d",21593,"ct_8","01","CDI"
375,2025,"C","O","CH","tr_3","474b",21486,"ct_9","71","CDI"
379,1706,"C","O","PZ","tr_3","422c",25522,"ct_8","01","CDI"
380,1203,"C","O","CK","tr_6","474b",21955,"ct_9","74","CDI"
395,1071,"P","O","QB","tr_3","563b",8132,"ct_8","01","CDD"
398,457,"C","O","QB","tr_4","434a",18093,"ct_8","01","CDI"
399,1820,"C","O","SZ","tr_6","431f",27550,"ct_8","79","CDI"
401,1993,"C","O","OZ","tr_6","545d",18270,"ct_8","69","CDI"
407,500,"P","O","IZ","tr_1","561c",4356,"ct_6","01","CDD"
412,1380,"C","O","NZ","tr_4","461d",17395,"ct_9","01","CDI"
416,1611,"C","O","HZ","tr_4","655a",25769,"ct_9","01","CDI"
421,772,"P","O","CA","tr_1","674c",7997,"ct_9","01","CDI"
425,1561,"C","O","FZ","tr_2","681a",19259,"ct_9","01","CDI"
426,1820,"C","O","FZ","tr_1","632c",18460,"ct_6","01","CDI"
429,675,"C","O","NZ","tr_6","534a",6451,"ct_9","69","CDI"
434,1633,"C","O","GZ","tr_6","676c",21807,"ct_9","01","CDI"
437,1696,"N","O","QB","tr_0","563a",8587,"ct_7","01","CDI"
444,2037,"C","O","HZ","tr_6","676c",24444,"ct_9","01","CDI"
445,292,"C","O","HZ","tr_4","643a",2222,"ct_9","74","CDI"
453,1849,"C","O","GZ","tr_2","552a",20893,"ct_9","71","CDI"
472,1810,"C","O","LZ","tr_1","461f",28763,"ct_9","69","CDI"
484,1856,"C","O","JC","tr_1","388a",27743,"ct_9","53","CDI"
493,926,"C","O","QB","tr_5","526c",8787,"ct_9","01","CDI"
496,1255,"P","O","QB","tr_3","563b",15761,"ct_8","01","CDI"
497,1377,"C","O","GZ","tr_1","554f",13796,"ct_9","01","CDI"
500,2103,"C","O","NZ","tr_3","433a",48504,"ct_9","01","CDI"
501,1803,"C","O","QA","tr_5","526a",21181,"ct_9","01","CDI"
512,1820,"C","O","CA","tr_4","543f",27436,"ct_9","01","CDI"
524,2101,"C","O","IZ","tr_1","561d",15128,"ct_9","01","CDI"
532,1715,"C","O","GZ","tr_3","374a",40298,"ct_9","01","CDI"
537,2120,"C","O","HZ","tr_3","656c",22219,"ct_9","69","CDI"
540,266,"C","O","NZ","tr_1","553b",2312,"ct_9","01","TTP"
541,1349,"C","O","IZ","tr_1","561d",8499,"ct_9","69","CDI"
555,1602,"C","O","FZ","tr_2","542a",18446,"ct_9","01","CDI"
561,1746,"C","O","KZ","tr_2","543b",18244,"ct_8","01","CDI"
572,1286,"P","O","GZ","tr_1","554e",15378,"ct_9","01","CDI"
574,1820,"C","O","KZ","tr_1","387b",50318,"ct_9","69","CDI"
592,1681,"C","O","NZ","tr_4","466c",28575,"ct_9","01","CDI"
599,1764,"P","O","MC","tr_6","463e",35046,"ct_9","92","CDI"
