"Primary_key","Club"
4,"cf109"
8,"cf109"
44,"cf111"
50,"cf233"
53,"cf111"
73,"cf111"
74,"cf132"
80,"cf101"
82,"cf103"
86,"cf105"
90,"cf103"
91,"cf101"
99,"cf103"
102,"cf404"
109,"cf125"
113,"cf404"
116,"cf115"
126,"cf418"
140,"cf126"
141,"cf114"
142,"cf107"
146,"cf114"
147,"cf107"
150,"cf102"
152,"cf121"
153,"cf107"
154,"cf107"
156,"cf114"
159,"cf109"
164,"cf109"
166,"cf102"
167,"cf108"
172,"cf102"
174,"cf102"
175,"cf110"
177,"cf102"
183,"cf110"
184,"cf107"
187,"cf121"
189,"cf109"
193,"cf109"
194,"cf102"
195,"cf109"
196,"cf114"
198,"cf102"
199,"cf114"
200,"cf107"
201,"cf102"
204,"cf401"
234,"cf132"
273,"cf211"
299,"cf103"
305,"cf111"
326,"cf601"
328,"cf134"
330,"cf113"
347,"cf401"
352,"cf115"
353,"cf125"
364,"cf219"
372,"cf112"
379,"cf112"
380,"cf101"
394,"cf211"
395,"cf119"
396,"cf101"
397,"cf101"
398,"cf101"
399,"cf101"
401,"cf105"
404,"cf101"
405,"cf101"
407,"cf101"
412,"cf105"
416,"cf101"
421,"cf133"
423,"cf211"
429,"cf125"
434,"cf401"
444,"cf101"
445,"cf129"
452,"cf113"
453,"cf403"
479,"cf123"
486,"cf245"
500,"cf123"
513,"cf123"
525,"cf124"
535,"cf604"
540,"cf123"
544,"cf125"
551,"cf132"
561,"cf102"
562,"cf604"
564,"cf111"
566,"cf126"
585,"cf242"
590,"cf125"
625,"cf133"
628,"cf123"
641,"cf102"
642,"cf105"
644,"cf102"
645,"cf110"
646,"cf102"
648,"cf102"
649,"cf124"
650,"cf102"
656,"cf109"
657,"cf124"
660,"cf102"
661,"cf108"
666,"cf124"
669,"cf110"
670,"cf102"
671,"cf110"
678,"cf206"
681,"cf105"
691,"cf402"
692,"cf105"
696,"cf111"
701,"cf111"
706,"cf133"
713,"cf105"
732,"cf123"
735,"cf102"
762,"cf211"
776,"cf251"
778,"cf109"
781,"cf105"
797,"cf102"
800,"cf102"
801,"cf102"
804,"cf102"
806,"cf102"
808,"cf102"
812,"cf115"
815,"cf109"
816,"cf407"
817,"cf126"
819,"cf410"
833,"cf212"
837,"cf109"
838,"cf211"
840,"cf123"
846,"cf402"
847,"cf115"
869,"cf404"
874,"cf113"
883,"cf420"
914,"cf402"
919,"cf102"
921,"cf211"
955,"cf115"
962,"cf119"
971,"cf125"
974,"cf109"
985,"cf111"
1001,"cf102"
1018,"cf245"
1040,"cf101"
1049,"cf109"
1059,"cf115"
1087,"cf123"
1088,"cf403"
1090,"cf212"
1096,"cf111"
1109,"cf107"
1111,"cf102"
1115,"cf109"
1117,"cf109"
1119,"cf106"
1121,"cf105"
1123,"cf102"
1125,"cf105"
1126,"cf106"
1127,"cf107"
1128,"cf106"
1132,"cf109"
1135,"cf102"
1140,"cf109"
1141,"cf105"
1143,"cf105"
1145,"cf123"
1149,"cf105"
1150,"cf109"
1151,"cf604"
1153,"cf102"
1164,"cf402"
1174,"cf403"
1182,"cf420"
1210,"cf111"
1225,"cf245"
1226,"cf132"
1271,"cf111"
1277,"cf222"
1285,"cf111"
1298,"cf111"
1305,"cf105"
1306,"cf107"
1324,"cf134"
1341,"cf106"
1342,"cf106"
1343,"cf134"
1344,"cf134"
1345,"cf106"
1346,"cf108"
1347,"cf105"
1348,"cf106"
1354,"cf106"
1358,"cf106"
1360,"cf114"
1363,"cf114"
1365,"cf106"
1367,"cf108"
1368,"cf114"
1396,"cf407"
1397,"cf123"
1402,"cf245"
1407,"cf109"
1416,"cf119"
1431,"cf221"
1447,"cf109"
1493,"cf213"
1555,"cf113"
1556,"cf113"
1558,"cf118"
1559,"cf209"
1560,"cf119"
1562,"cf108"
1563,"cf108"
1564,"cf107"
1566,"cf113"
1569,"cf103"
1571,"cf102"
1574,"cf102"
1575,"cf107"
1577,"cf118"
1579,"cf107"
1580,"cf113"
1581,"cf113"
1584,"cf102"
1585,"cf113"
1586,"cf102"
1588,"cf108"
1590,"cf110"
1593,"cf209"
1594,"cf102"
1596,"cf110"
1601,"cf108"
1603,"cf108"
1605,"cf118"
1606,"cf118"
1607,"cf212"
1609,"cf212"
1611,"cf119"
1613,"cf102"
1614,"cf108"
1616,"cf113"
1617,"cf107"
1618,"cf119"
1621,"cf102"
1622,"cf108"
1623,"cf102"
1624,"cf209"
1627,"cf108"
1630,"cf113"
1631,"cf118"
1632,"cf119"
1633,"cf118"
1634,"cf108"
1638,"cf118"
1639,"cf209"
1640,"cf108"
1641,"cf102"
1642,"cf212"
1643,"cf102"
1644,"cf113"
1670,"cf218"
1676,"cf107"
1677,"cf111"
1679,"cf105"
1680,"cf103"
1683,"cf105"
1684,"cf105"
1686,"cf103"
1687,"cf103"
1689,"cf105"
1691,"cf103"
1694,"cf129"
1696,"cf103"
1700,"cf102"
1701,"cf111"
1702,"cf107"
1712,"cf403"
1717,"cf106"
1719,"cf107"
1723,"cf106"
1730,"cf103"
1732,"cf103"
1738,"cf202"
1745,"cf123"
1747,"cf111"
1757,"cf111"
1758,"cf124"
1763,"cf117"
1776,"cf123"
1778,"cf202"
1788,"cf123"
1789,"cf604"
1799,"cf124"
1821,"cf113"
1826,"cf133"
1835,"cf132"
1841,"cf101"
1856,"cf115"
1860,"cf123"
1880,"cf125"
1897,"cf413"
1902,"cf123"
1907,"cf107"
1909,"cf123"
1912,"cf102"
1913,"cf107"
1916,"cf604"
1925,"cf102"
1929,"cf102"
1932,"cf105"
1945,"cf106"
1950,"cf101"
1951,"cf211"
1958,"cf105"
1968,"cf413"
1972,"cf119"
1983,"cf119"
1995,"cf111"
2006,"cf221"
2018,"cf113"
2034,"cf134"
2036,"cf124"
2037,"cf121"
2041,"cf103"
2043,"cf111"
2044,"cf109"
2045,"cf102"
2047,"cf109"
2049,"cf121"
2053,"cf108"
2054,"cf109"
2057,"cf115"
2058,"cf111"
2062,"cf110"
2065,"cf110"
2067,"cf121"
2069,"cf109"
2073,"cf102"
2076,"cf111"
2079,"cf124"
2084,"cf107"
2086,"cf103"
2089,"cf109"
2091,"cf107"
2096,"cf103"
2100,"cf107"
2101,"cf102"
2102,"cf108"
2103,"cf123"
2104,"cf410"
2107,"cf103"
2110,"cf107"
2111,"cf107"
2112,"cf103"
2116,"cf604"
2117,"cf108"
2119,"cf107"
2124,"cf403"
2125,"cf403"
2129,"cf403"
2130,"cf123"
2139,"cf111"
2150,"cf407"
2153,"cf402"
2154,"cf404"
2189,"cf103"
2198,"cf111"
2199,"cf109"
2200,"cf267"
2202,"cf111"
2208,"cf111"
2212,"cf404"
2213,"cf107"
2214,"cf125"
2218,"cf109"
2220,"cf111"
2222,"cf101"
2226,"cf402"
2231,"cf109"
2233,"cf111"
2250,"cf242"
2258,"cf123"
2265,"cf242"
2268,"cf133"
2271,"cf102"
2274,"cf106"
2276,"cf109"
2277,"cf101"
2281,"cf122"
2282,"cf117"
2283,"cf109"
2284,"cf122"
2288,"cf106"
2289,"cf122"
2294,"cf117"
2296,"cf103"
2300,"cf103"
2301,"cf102"
2302,"cf125"
2303,"cf117"
2308,"cf109"
2309,"cf117"
2310,"cf106"
2313,"cf402"
2316,"cf133"
2319,"cf107"
2320,"cf107"
2322,"cf108"
2324,"cf115"
2325,"cf132"
2327,"cf108"
2328,"cf115"
2332,"cf103"
2333,"cf108"
2335,"cf103"
2338,"cf103"
2340,"cf103"
2341,"cf103"
2349,"cf261"
2385,"cf108"
2386,"cf103"
2389,"cf233"
2391,"cf101"
2397,"cf108"
2398,"cf108"
2399,"cf101"
2400,"cf233"
2402,"cf103"
2403,"cf101"
2404,"cf233"
2405,"cf103"
2409,"cf101"
2449,"cf121"
2450,"cf118"
2451,"cf108"
2452,"cf121"
2453,"cf108"
2456,"cf102"
2458,"cf106"
2459,"cf102"
2460,"cf121"
2461,"cf118"
2462,"cf126"
2463,"cf101"
2467,"cf101"
2468,"cf119"
2471,"cf108"
2472,"cf106"
2473,"cf106"
2474,"cf118"
2476,"cf119"
2484,"cf111"
2490,"cf261"
2497,"cf245"
2501,"cf242"
2505,"cf111"
2508,"cf133"
2513,"cf219"
2520,"cf111"
2527,"cf242"
2532,"cf413"
2535,"cf125"
2539,"cf109"
2548,"cf134"
2551,"cf242"
2566,"cf258"
2573,"cf413"
2590,"cf111"
2600,"cf121"
2602,"cf101"
2607,"cf242"
2615,"cf113"
2616,"cf105"
2617,"cf105"
2619,"cf105"
2623,"cf109"
2624,"cf113"
2628,"cf109"
2630,"cf101"
2636,"cf111"
2638,"cf401"
2642,"cf108"
2646,"cf221"
2651,"cf107"
2657,"cf237"
2659,"cf401"
2666,"cf105"
2669,"cf101"
2670,"cf122"
2672,"cf112"
2673,"cf107"
2675,"cf105"
2676,"cf112"
2678,"cf122"
2679,"cf107"
2680,"cf106"
2681,"cf112"
2687,"cf110"
2692,"cf105"
2703,"cf105"
2704,"cf112"
2705,"cf107"
2706,"cf107"
2707,"cf105"
2715,"cf123"
2734,"cf402"
2737,"cf410"
2740,"cf402"
2754,"cf233"
2755,"cf119"
2759,"cf121"
2780,"cf125"
2791,"cf121"
2799,"cf135"
2807,"cf138"
2808,"cf110"
2809,"cf138"
2810,"cf110"
2813,"cf102"
2814,"cf108"
2816,"cf110"
2820,"cf110"
2821,"cf138"
2822,"cf138"
2825,"cf138"
2831,"cf112"
2832,"cf138"
2833,"cf110"
2834,"cf101"
2835,"cf138"
2838,"cf112"
2839,"cf102"
2841,"cf101"
2842,"cf112"
2843,"cf138"
2845,"cf122"
2846,"cf110"
2847,"cf110"
2848,"cf102"
2849,"cf110"
2850,"cf138"
2851,"cf138"
2852,"cf138"
2853,"cf101"
2857,"cf106"
2859,"cf138"
2861,"cf102"
2862,"cf122"
2864,"cf114"
2867,"cf110"
2868,"cf138"
2869,"cf138"
2871,"cf138"
2874,"cf101"
2876,"cf106"
2877,"cf106"
2878,"cf138"
2882,"cf102"
2883,"cf114"
2884,"cf101"
2886,"cf106"
2888,"cf138"
2890,"cf102"
2891,"cf101"
2892,"cf138"
2893,"cf122"
2896,"cf138"
2897,"cf102"
2898,"cf101"
2901,"cf122"
2904,"cf110"
2905,"cf110"
2906,"cf110"
2908,"cf138"
2909,"cf110"
2910,"cf101"
2911,"cf114"
2912,"cf110"
2913,"cf106"
2914,"cf110"
2915,"cf138"
2917,"cf138"
2919,"cf106"
2928,"cf132"
2936,"cf119"
2946,"cf109"
2947,"cf106"
2951,"cf103"
2954,"cf106"
2955,"cf125"
2958,"cf103"
2959,"cf106"
2962,"cf106"
2965,"cf103"
2967,"cf129"
2974,"cf102"
2975,"cf123"
2977,"cf126"
2997,"cf102"
3001,"cf101"
3004,"cf107"
3010,"cf107"
3011,"cf103"
3015,"cf102"
3016,"cf110"
3018,"cf102"
3019,"cf102"
3020,"cf107"
3025,"cf106"
3028,"cf101"
3032,"cf102"
3035,"cf102"
3042,"cf107"
3043,"cf103"
3046,"cf107"
3047,"cf103"
3048,"cf110"
3049,"cf107"
3050,"cf114"
3051,"cf107"
3052,"cf102"
3054,"cf107"
3055,"cf103"
3056,"cf106"
3058,"cf103"
3059,"cf110"
3060,"cf101"
3062,"cf107"
3063,"cf106"
3064,"cf107"
3066,"cf107"
3069,"cf106"
3070,"cf107"
3073,"cf106"
3074,"cf107"
3075,"cf107"
3077,"cf102"
3080,"cf110"
3083,"cf113"
3085,"cf106"
3087,"cf106"
3094,"cf107"
3097,"cf106"
3099,"cf106"
3104,"cf106"
3105,"cf111"
3109,"cf106"
3111,"cf107"
3118,"cf105"
3119,"cf106"
3121,"cf113"
3122,"cf102"
3127,"cf106"
3128,"cf107"
3131,"cf107"
3134,"cf113"
3135,"cf106"
3136,"cf106"
3139,"cf106"
3143,"cf106"
3144,"cf107"
3145,"cf113"
3146,"cf107"
3147,"cf107"
3148,"cf107"
3156,"cf107"
3157,"cf111"
3158,"cf106"
3159,"cf105"
3161,"cf106"
3173,"cf106"
3174,"cf106"
3175,"cf107"
3176,"cf111"
3177,"cf113"
3178,"cf111"
3184,"cf105"
3188,"cf105"
3189,"cf113"
3191,"cf108"
3193,"cf106"
3194,"cf107"
3195,"cf106"
3196,"cf102"
3197,"cf107"
3198,"cf102"
3202,"cf105"
3203,"cf119"
3206,"cf110"
3207,"cf106"
3208,"cf106"
3209,"cf105"
3210,"cf110"
3212,"cf106"
3213,"cf110"
3217,"cf105"
3219,"cf102"
3223,"cf110"
3225,"cf102"
3227,"cf110"
3228,"cf110"
3229,"cf107"
3233,"cf105"
3243,"cf106"
3245,"cf106"
3246,"cf110"
3249,"cf102"
3250,"cf106"
3251,"cf119"
3252,"cf119"
3254,"cf105"
3255,"cf110"
3257,"cf102"
3258,"cf110"
3259,"cf106"
3260,"cf119"
3262,"cf105"
3263,"cf107"
3264,"cf106"
3265,"cf119"
3266,"cf107"
3267,"cf119"
3271,"cf123"
3274,"cf109"
3275,"cf106"
3276,"cf106"
3279,"cf107"
3282,"cf106"
3284,"cf106"
3293,"cf129"
3298,"cf125"
3302,"cf105"
3315,"cf132"
3322,"cf111"
3349,"cf410"
3367,"cf115"
3371,"cf404"
3372,"cf410"
3380,"cf106"
3383,"cf122"
3384,"cf116"
3390,"cf116"
3392,"cf116"
3394,"cf103"
3395,"cf109"
3400,"cf102"
3405,"cf106"
3408,"cf106"
3409,"cf116"
3410,"cf116"
3411,"cf102"
3412,"cf109"
3413,"cf122"
3419,"cf106"
3420,"cf102"
3421,"cf107"
3422,"cf106"
3423,"cf108"
3424,"cf102"
3425,"cf122"
3427,"cf113"
3430,"cf108"
3433,"cf116"
3437,"cf108"
3439,"cf109"
3441,"cf106"
3443,"cf107"
3446,"cf103"
3447,"cf122"
3449,"cf103"
3450,"cf113"
3451,"cf106"
3452,"cf107"
3453,"cf102"
3454,"cf106"
3455,"cf113"
3456,"cf113"
3458,"cf122"
3470,"cf123"
3471,"cf410"
3473,"cf108"
3479,"cf109"
3480,"cf103"
3481,"cf109"
3485,"cf106"
3486,"cf106"
3488,"cf101"
3491,"cf109"
3500,"cf101"
3502,"cf124"
3503,"cf103"
3505,"cf245"
3508,"cf107"
3511,"cf113"
3512,"cf110"
3513,"cf110"
3514,"cf113"
3518,"cf245"
3519,"cf107"
3521,"cf245"
3522,"cf110"
3524,"cf103"
3525,"cf107"
3526,"cf113"
3527,"cf103"
3530,"cf107"
3531,"cf107"
3533,"cf107"
3534,"cf107"
3535,"cf107"
3536,"cf107"
3538,"cf113"
3539,"cf110"
3540,"cf107"
3541,"cf113"
3542,"cf107"
3544,"cf113"
3545,"cf103"
3546,"cf110"
3554,"cf102"
3558,"cf124"
3560,"cf110"
3562,"cf103"
3563,"cf113"
3565,"cf102"
3566,"cf102"
3571,"cf103"
3576,"cf121"
3577,"cf105"
3578,"cf113"
3584,"cf121"
3588,"cf109"
3589,"cf102"
3591,"cf117"
3594,"cf201"
3596,"cf112"
3597,"cf131"
3598,"cf112"
3605,"cf112"
3607,"cf213"
3609,"cf203"
3612,"cf131"
3616,"cf209"
3621,"cf112"
3622,"cf103"
3623,"cf131"
3625,"cf209"
3626,"cf103"
3627,"cf209"
3628,"cf203"
3629,"cf131"
3632,"cf103"
3634,"cf228"
3635,"cf103"
3638,"cf228"
3639,"cf203"
3640,"cf138"
3641,"cf103"
3642,"cf112"
3643,"cf201"
3649,"cf209"
3651,"cf228"
3652,"cf103"
3654,"cf213"
3655,"cf103"
3658,"cf138"
3659,"cf213"
3660,"cf209"
3662,"cf203"
3664,"cf138"
